Plek,Wijk,Postcode,Plaatsnaam,Prijs,Oppervlakte,Kamers,Interieur,Link,AangebodenSinds,Beschikbaarheid,Woningtype,Bouwjaar,Parkeren,Updated,Status
Allerheiligenweg,Overakker,4835 BM,Breda,1450,76,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/breda/1325913/allerheiligenweg/,18-11-2022,Per 02-01-2023,Appartement,1962.0,Nee,2022-11-20,Active
Erkelenzstraat,Kemperkoul,6132 HG,Sittard,1175,126,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/sittard/1325912/erkelenzstraat/,18-11-2022,Per 15-12-2022,Huis,1990.0,Nee,2022-11-20,Active
Stortweg,Talud,6861 XD,Oosterbeek,1500,115,5.0,,https://www.huurwoningen.nl/huren/oosterbeek/1325911/stortweg/,18-11-2022,Per direct,Huis,,Nee,2022-11-20,Active
Kratontuin,Oostelijk Havengebied,1019 SL,Amsterdam,2500,81,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amsterdam/1325910/kratontuin/,18-11-2022,Per 21-11-2022,Appartement,,Nee,2022-11-20,Active
Trumanlaan,Kanaleneiland-Noord,3527 BM,Utrecht,1530,75,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/utrecht/1325907/trumanlaan/,18-11-2022,Per 01-12-2022,Appartement,1960.0,Ja,2022-11-20,Active
Tuinstraat,Velp-Zuid beneden spoorlijn,6882 NX,Velp,1250,70,3.0,,https://www.huurwoningen.nl/huren/velp-gld/1325906/tuinstraat/,18-11-2022,Per 01-12-2022,Appartement,2022.0,Ja,2022-11-20,Active
Welterkerkstraat,Welten-Dorp,6419 CR,Heerlen,1350,125,6.0,Gestoffeerd,https://www.huurwoningen.nl/huren/heerlen/1325416/welterkerkstraat/,17-11-2022,Per 01-12-2022,Huis,1910.0,Nee,2022-11-20,Active
Weimarstraat,Haag Valkenboskwartier,2562 HP,Den Haag,1150,55,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/den-haag/1324769/weimarstraat/,14-11-2022,Per 01-12-2022,Appartement,,Ja,2022-11-20,Active
Schakelweg,Rotterdam Hoogvliet Zuid,3192 JP,Hoogvliet Rotterdam,650,50,2.0,Kaal,https://www.huurwoningen.nl/huren/hoogvliet-rotterdam/1039725/schakelweg/,15-11-2022,Per direct,Appartement,1983.0,Nee,2022-11-20,Active
Koninginneweg,Willemspark,1075 CP,Amsterdam,5500,149,4.0,,https://www.huurwoningen.nl/huren/amsterdam/1325905/koninginneweg/,18-11-2022,Per direct,Appartement,1904.0,Nee,2022-11-20,Active
Hendrik Westerstraat,Boer Ten Boer Dorp,9791 CT,Ten Boer,1095,48,1.0,Gemeubileerd,https://www.huurwoningen.nl/huren/ten-boer/1325904/hendrik-westerstraat/,18-11-2022,Per 01-01-2023,Appartement,,Ja,2022-11-20,Active
Des Présstraat,Willemspark,1075 NZ,Amsterdam,2850,92,4.0,,https://www.huurwoningen.nl/huren/amsterdam/1325902/des-presstraat/,18-11-2022,Per direct,Appartement,1926.0,Nee,2022-11-20,Active
Graaf Aelbrechtlaan,Elsrijk West,1181 SP,Amstelveen,3250,119,6.0,,https://www.huurwoningen.nl/huren/amstelveen/1325901/graaf-aelbrechtlaan/,18-11-2022,Per direct,Huis,1938.0,Nee,2022-11-20,Active
Celsiuslaan,Elinkwijk en omgeving,3553 HM,Utrecht,1695,96,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/utrecht/1325900/celsiuslaan/,18-11-2022,Per direct,Appartement,1995.0,Nee,2022-11-20,Active
Beltstraat,Getfert,7512 AC,Enschede,1100,85,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/enschede/1325898/beltstraat/,18-11-2022,Per 01-01-2023,Appartement,,Ja,2022-11-20,Active
Reinaldstraat,Plattenburg,6824 GN,Arnhem,656,30,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/arnhem/1325897/reinaldstraat/,18-11-2022,Per 01-12-2022,Kamer,,Ja,2022-11-20,Active
Rozenboomlaan,Voorburg Midden zuid,2274 HK,Voorburg,1175,55,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/voorburg/1325896/rozenboomlaan/,18-11-2022,Per direct,Appartement,1953.0,Ja,2022-11-20,Active
Escamplaan,Haag Leyenburg,2547 EW,Den Haag,855,74,3.0,Kaal,https://www.huurwoningen.nl/huren/den-haag/1325895/escamplaan/,18-11-2022,Per direct,Appartement,,Nee,2022-11-20,Active
Pannekoekstraat,Stadsdriehoek,3011 LK,Rotterdam,1400,55,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/rotterdam/1325894/pannekoekstraat/,18-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Statenweg,Blijdorp,3039 JN,Rotterdam,1400,130,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/rotterdam/1325893/statenweg/,18-11-2022,Per direct,Appartement,1939.0,Nee,2022-11-20,Active
Vissersdijk,Bovenstad,4201 ZB,Gorinchem,2450,35,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/gorinchem/1325890/vissersdijk/,18-11-2022,Per 01-01-2023,Appartement,1885.0,Nee,2022-11-20,Active
Prinses Beatrixplein,Oud Hoograven-Noord,3523 VD,Utrecht,1675,82,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/utrecht/1325887/prinses-beatrixplein/,18-11-2022,Per 05-01-2023,Appartement,2001.0,Nee,2022-11-20,Active
Mathenesserlaan,Nieuwe Westen,3023 HB,Rotterdam,1395,70,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/rotterdam/1325886/mathenesserlaan/,18-11-2022,Per 15-12-2022,Appartement,1909.0,Nee,2022-11-20,Active
Mathenesserlaan,Nieuwe Westen,3023 HB,Rotterdam,1595,88,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/rotterdam/1325885/mathenesserlaan/,18-11-2022,Per 15-12-2022,Appartement,1901.0,Nee,2022-11-20,Active
Mathenesserlaan,Nieuwe Westen,3023 HB,Rotterdam,1595,88,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/rotterdam/1325884/mathenesserlaan/,18-11-2022,Per 15-12-2022,Appartement,1909.0,Nee,2022-11-20,Active
Kaasjeskruidstraat,Noordelijke IJ-oevers West,1032 LS,Amsterdam,2250,25,1.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amsterdam/1325883/kaasjeskruidstraat/,18-11-2022,Per 16-12-2022,Appartement,2015.0,Nee,2022-11-20,Active
Meerland,Purmer-Zuid/Noord,1447 KA,Purmerend,1395,60,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/purmerend/1325882/meerland/,18-11-2022,Per 01-12-2022,Appartement,1989.0,Nee,2022-11-20,Active
Corverstraat,Bospolder,3025 TC,Rotterdam,1850,90,4.0,,https://www.huurwoningen.nl/huren/rotterdam/1325881/corverstraat/,18-11-2022,Per direct,Appartement,1912.0,Nee,2022-11-20,Active
Pahud de Mortangesdreef,Neckardreef en omgeving,3562 AH,Utrecht,1250,54,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/utrecht/1325880/pahud-de-mortangesdreef/,18-11-2022,Per 01-12-2022,Appartement,1966.0,Nee,2022-11-20,Active
Hansenstraat,Groenoord,2316 BL,Leiden,1475,86,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/leiden/1325879/hansenstraat/,18-11-2022,Per direct,Appartement,1910.0,Nee,2022-11-20,Active
Bovenste straat,Echt Centrum,6101 EK,Echt,1050,82,2.0,Kaal,https://www.huurwoningen.nl/huren/echt/1325877/bovenste-straat/,18-11-2022,Per direct,Appartement,1910.0,Nee,2022-11-20,Active
Bovenste straat,Echt Centrum,6101 EK,Echt,1250,100,2.0,Kaal,https://www.huurwoningen.nl/huren/echt/1325876/bovenste-straat/,18-11-2022,Per direct,Appartement,1910.0,Nee,2022-11-20,Active
Koediefslaan,Kennemerduin en omgeving,2101 BV,Heemstede,1850,100,2.0,Kaal,https://www.huurwoningen.nl/huren/heemstede/1325875/koediefslaan/,18-11-2022,Per 01-01-2023,Huis,1913.0,Nee,2022-11-20,Active
Kloveniersburgwal,Nieuwmarkt/Lastage,1011 JT,Amsterdam,1800,44,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/amsterdam/1325873/kloveniersburgwal/,18-11-2022,Per direct,Appartement,,Nee,2022-11-20,Active
Hambeek,Roer-Zuid,6041 NH,Roermond,866,75,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/roermond/1317312/hambeek/,6 weken,Per direct,Appartement,1956.0,Nee,2022-11-20,Active
Jan Smitzlaan,Binnenstad,5611 LD,Eindhoven,2495,90,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/eindhoven/1325872/jan-smitzlaan/,18-11-2022,Per 01-01-2023,Appartement,,Ja,2022-11-20,Active
Haaksbergerstraat,Horstlanden-Stadsweide,7513 EA,Enschede,1050,54,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/enschede/1325870/haaksbergerstraat/,18-11-2022,Per 01-02-2023,Appartement,,Nee,2022-11-20,Active
Rijperweg,Middenbeemster,1462 MG,Middenbeemster,2500,142,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/middenbeemster/1325868/rijperweg/,18-11-2022,Per 01-12-2022,Huis,1976.0,Nee,2022-11-20,Active
Nieuwegrachtje,Nieuwmarkt/Lastage,1011 VP,Amsterdam,2850,87,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/amsterdam/1325866/nieuwegrachtje/,18-11-2022,Per direct,Appartement,1920.0,Nee,2022-11-20,Active
Baarlandhof,Pendrecht,3086 EC,Rotterdam,1850,74,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/rotterdam/1325865/baarlandhof/,18-11-2022,Per 15-12-2022,Appartement,1959.0,Nee,2022-11-20,Active
Vissersdijk,Bovenstad,4201 ZB,Gorinchem,2150,35,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/gorinchem/1325864/vissersdijk/,18-11-2022,Per 20-12-2022,Appartement,1885.0,Nee,2022-11-20,Active
Klaverstraat,Sint Anna Noord,5038 RB,Tilburg,1275,110,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/tilburg/1325863/klaverstraat/,18-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Admiraal Banckertweg,De Waard,2315 SR,Leiden,1500,118,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/leiden/1325861/admiraal-banckertweg/,18-11-2022,Per 01-12-2022,Huis,1979.0,Ja,2022-11-20,Active
van Sevenbergestraat,Voorburg Noord noord,2274 PJ,Voorburg,1550,64,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/voorburg/1325860/van-sevenbergestraat/,18-11-2022,Per 01-12-2022,Appartement,1929.0,Nee,2022-11-20,Active
Ray Charlesstraat,Terwijde-Oost,3543 EK,Utrecht,1975,113,5.0,,https://www.huurwoningen.nl/huren/utrecht/1325859/ray-charlesstraat/,18-11-2022,Per direct,Huis,2014.0,Nee,2022-11-20,Active
Columbusstraat,Haag Valkenboskwartier,2561 AJ,Den Haag,1150,56,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/den-haag/1325858/columbusstraat/,18-11-2022,Per 09-12-2022,Appartement,,Nee,2022-11-20,Active
Piet Mondriaanlaan,Puntenburg,3812 GT,Amersfoort,1240,61,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/amersfoort/1325857/piet-mondriaanlaan/,18-11-2022,Per 02-01-2023,Appartement,2014.0,Nee,2022-11-20,Active
Vaargeul,Lewenborg-West,9732 JT,Groningen,1575,119,5.0,Gemeubileerd,https://www.huurwoningen.nl/huren/groningen/1325856/vaargeul/,18-11-2022,Per 01-02-2023,Huis,1978.0,Nee,2022-11-20,Active
Wilhelminastraat,Zandberg,4818 SG,Breda,1200,75,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/breda/1325854/wilhelminastraat/,18-11-2022,Per direct,Appartement,,Ja,2022-11-20,Active
's-Gravelandseweg,Villaparken,1217 EZ,Hilversum,1770,92,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/hilversum/1325851/s-gravelandseweg/,18-11-2022,Per direct,Appartement,1955.0,Nee,2022-11-20,Active
Prinsengracht,Grachtengordel-Zuid,1017 JV,Amsterdam,2300,70,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/amsterdam/1325850/prinsengracht/,18-11-2022,Per 01-12-2022,Appartement,1905.0,Ja,2022-11-20,Active
Geraniumstraat,Arendsboer en omgeving Noord,7601 AD,Almelo,975,56,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/almelo/1325848/geraniumstraat/,18-11-2022,Per direct,Huis,1936.0,Nee,2022-11-20,Active
Raadhuisstraat,Grou,9001 AG,Grou,500,28,1.0,Kaal,https://www.huurwoningen.nl/huren/grou/1325845/raadhuisstraat/,18-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Nieuwegrachtje,Nieuwmarkt/Lastage,1011 VP,Amsterdam,2850,87,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/amsterdam/1325843/nieuwegrachtje/,18-11-2022,Per direct,Appartement,1920.0,Nee,2022-11-20,Active
Neerhof,Kloosterblokje,4797 EK,Willemstad,3495,195,5.0,Gemeubileerd,https://www.huurwoningen.nl/huren/willemstad/1325842/neerhof/,18-11-2022,Per 02-01-2023,Huis,,Nee,2022-11-20,Active
Drenkkuil,Vrachelen-Noordwest,4906 LG,Oosterhout,1750,102,5.0,Gestoffeerd,https://www.huurwoningen.nl/huren/oosterhout-nb/1325841/drenkkuil/,18-11-2022,Per 21-11-2022,Huis,2015.0,Ja,2022-11-20,Active
Van Hogendorpstraat,Helder Visbuurt,1781 SR,Den Helder,900,78,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/den-helder/1321044/van-hogendorpstraat/,3 weken,Per 20-12-2022,Huis,,Nee,2022-11-20,Active
Molenvliet,Lombardijen,3076 CJ,Rotterdam,1300,70,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/rotterdam/1176612/molenvliet/,11-11-2022,Per 01-12-2022,Appartement,1961.0,Nee,2022-11-20,Active
Pater Arnold Damenstraat,Baai 1,4871 XE,Etten-Leur,1150,80,6.0,Gestoffeerd,https://www.huurwoningen.nl/huren/etten-leur/1325840/pater-arnold-damenstraat/,18-11-2022,Per 15-01-2023,Huis,1967.0,Ja,2022-11-20,Active
Roland Holstlaan,Roland Holstbuurt,2624 JM,Delft,1350,96,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/delft/1325839/roland-holstlaan/,18-11-2022,Per 02-01-2023,Appartement,1968.0,Nee,2022-11-20,Active
Erich Salomonstraat,IJburg West,1087 JA,Amsterdam,2850,158,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amsterdam/1325836/erich-salomonstraat/,18-11-2022,Per 01-01-2023,Huis,2008.0,Nee,2022-11-20,Active
Vliertwijksestraat,Binckhorst,5244 NC,Rosmalen,965,99,3.0,,https://www.huurwoningen.nl/huren/rosmalen/1325835/vliertwijksestraat/,18-11-2022,Per 27-01-2023,Appartement,2008.0,Nee,2022-11-20,Active
Hinthamereinde,Bosch De Hofstad,5211 PM,Den Bosch,1495,70,2.0,,https://www.huurwoningen.nl/huren/den-bosch/1325833/hinthamereinde/,18-11-2022,Per 01-02-2023,Appartement,1905.0,Nee,2022-11-20,Active
Hinthamereinde,Bosch De Hofstad,5211 PM,Den Bosch,1195,60,2.0,,https://www.huurwoningen.nl/huren/den-bosch/1325832/hinthamereinde/,18-11-2022,Per 01-02-2023,Appartement,1905.0,Nee,2022-11-20,Active
Hinthamereinde,Bosch De Hofstad,5211 PM,Den Bosch,1135,55,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/den-bosch/1325831/hinthamereinde/,18-11-2022,Per 01-02-2023,Appartement,1905.0,Nee,2022-11-20,Active
Kerkstraat,Velp-Zuid beneden spoorlijn,6883 HR,Velp,1500,90,2.0,Gemeubileerd,https://www.huurwoningen.nl/huren/velp-gld/1325830/kerkstraat/,18-11-2022,Per 15-12-2022,Huis,1900.0,Nee,2022-11-20,Active
Deurningerstraat,"Lasonder, Zeggelt",7514 BH,Enschede,1250,71,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/enschede/1325829/deurningerstraat/,18-11-2022,Per 06-01-2023,Appartement,,Ja,2022-11-20,Active
Abtsweg,Kleinpolder,3042 GA,Rotterdam,1250,45,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/rotterdam/1325828/abtsweg/,18-11-2022,Per direct,Appartement,,Nee,2022-11-20,Active
Bruggertstraat,Stadsveld-Noord-Bruggert,7545 AT,Enschede,450,14,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/enschede/1325827/bruggertstraat/,18-11-2022,Per 01-01-2023,Kamer,,Ja,2022-11-20,Active
Korte Haaksbergerstraat,City,7511 JS,Enschede,450,24,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/enschede/1325826/korte-haaksbergerstraat/,18-11-2022,Per direct,Kamer,,Nee,2022-11-20,Active
W.A. Scholtenstraat,Binnenstad-Oost,9711 XB,Groningen,763,45,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/groningen/1325825/w-a-scholtenstraat/,18-11-2022,Per direct,Appartement,,Nee,2022-11-20,Active
Krugerlaan,Carré,3701 JS,Zeist,1650,83,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/zeist/1325824/krugerlaan/,18-11-2022,Per direct,Huis,,Ja,2022-11-20,Active
Van Heuven Goedhartlaan,Elsrijk Oost,1181 LJ,Amstelveen,1850,90,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amstelveen/1325823/van-heuven-goedhartlaan/,18-11-2022,Per 01-01-2023,Appartement,,Ja,2022-11-20,Active
Pluvierstraat,Mekkelholt,7523 EH,Enschede,825,30,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/enschede/1325822/pluvierstraat/,18-11-2022,Per 01-12-2022,Appartement,,Ja,2022-11-20,Active
Stadhoudersweg,Blijdorp,3039 CK,Rotterdam,1350,113,4.0,Kaal,https://www.huurwoningen.nl/huren/rotterdam/1325821/stadhoudersweg/,18-11-2022,Per direct,Appartement,1937.0,Nee,2022-11-20,Active
Haverstraatpassage,City,7511 EV,Enschede,1100,85,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/enschede/1325820/haverstraatpassage/,18-11-2022,Per 01-01-2023,Appartement,,Ja,2022-11-20,Active
Sonmansstraat,Blijdorp,3039 DR,Rotterdam,1450,80,4.0,Kaal,https://www.huurwoningen.nl/huren/rotterdam/1325819/sonmansstraat/,18-11-2022,Per direct,Appartement,1949.0,Nee,2022-11-20,Active
Ternatestraat,Hogeland-Noord,7512 GL,Enschede,1450,175,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/enschede/1325818/ternatestraat/,18-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Vechtstraat,Rivierenbuurt,9725 CT,Groningen,1950,125,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/groningen/1325817/vechtstraat/,18-11-2022,Per 01-12-2022,Appartement,,Ja,2022-11-20,Active
Pluvierstraat,Mekkelholt,7523 EH,Enschede,795,28,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/enschede/1325816/pluvierstraat/,18-11-2022,Per 01-01-2023,Appartement,,Ja,2022-11-20,Active
Achter 't Hofje,City,7511 HP,Enschede,365,11,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/enschede/1325815/achter-t-hofje/,18-11-2022,Per 01-01-2023,Kamer,,Nee,2022-11-20,Active
Nieuwe Gracht,Stationsbuurt,2011 NJ,Haarlem,1525,60,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/haarlem/1325814/nieuwe-gracht/,18-11-2022,Per 01-12-2022,Appartement,1900.0,Nee,2022-11-20,Active
Medeaschouw,De Leyens,2726 KR,Zoetermeer,1175,65,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/zoetermeer/1325813/medeaschouw/,18-11-2022,Per 15-01-2023,Appartement,1935.0,Ja,2022-11-20,Active
Haaksbergerstraat,Veldkamp-Getfert-West,7513 EN,Enschede,350,15,5.0,Gestoffeerd,https://www.huurwoningen.nl/huren/enschede/1325812/haaksbergerstraat/,18-11-2022,Per 01-12-2022,Kamer,,Nee,2022-11-20,Active
Lenteakker,Akkers-Centrum,3206 TB,Spijkenisse,1250,70,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/spijkenisse/1325811/lenteakker/,18-11-2022,Per 01-12-2022,Appartement,,Ja,2022-11-20,Active
Piet Heinstraat,City,7511 JE,Enschede,1250,85,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/enschede/1325810/piet-heinstraat/,18-11-2022,Per 01-02-2023,Appartement,,Ja,2022-11-20,Active
Lyonnetstraat,Haag Laakkwartier-Oost,2522 NB,Den Haag,1185,60,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/den-haag/1168015/lyonnetstraat/,2 weken,Per 01-12-2022,Appartement,1924.0,Nee,2022-11-20,Active
Oldenzaalsestraat,De Laares,7514 DV,Enschede,1100,65,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/enschede/1325809/oldenzaalsestraat/,18-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Oldenzaalsestraat,De Laares,7514 DV,Enschede,895,40,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/enschede/1325808/oldenzaalsestraat/,18-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Wethouder Nijhuisstraat,Stadsveld-Zuid,7545 NN,Enschede,350,12,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/enschede/1325807/wethouder-nijhuisstraat/,18-11-2022,Per 01-01-2023,Kamer,,Ja,2022-11-20,Active
Ravelijn,Aetsveld Noord,1383 BH,Weesp,2250,113,5.0,Gestoffeerd,https://www.huurwoningen.nl/huren/weesp/1325806/ravelijn/,18-11-2022,Per direct,Huis,,Nee,2022-11-20,Active
